Month,Year,Sales,Redemption,Net,Income Distributed,Fund Size,Dividend,FBMKLCI
Sep,2013,"2,729,216,642.27","-2,040,693,865.31","688,522,776.96",,"123,844,399,885.56",,"1,768.62"
Oct,2013,"3,321,059,217.00","-2,002,039,634.90","1,319,019,582.10",,"125,163,419,467.66",,"1,815.15"
Nov,2013,"2,894,619,900.69","-1,803,250,152.32","1,091,369,748.37",,"126,254,789,216.03",,"1,812.72"
Dec,2013,"1,822,572,460.28","-812,391,002.45","1,010,181,457.83",,"127,264,970,673.86",,"1,882.20"
Jan,2014,"3,823,408,106.62","-5,420,724,159.62","-1,597,316,053.00","9,845,958,504.61","135,513,613,125.47",8.7,"1,804.03"
Feb,2014,"3,365,854,051.60","-3,618,346,815.20","-252,492,763.60",,"135,261,120,361.87",,"1,835.66"
Mar,2014,"3,122,801,137.32","-3,444,482,532.04","-321,681,394.72",,"134,939,438,967.15",,"1,849.21"
Apr,2014,"3,074,614,788.86","-2,925,371,502.24","149,243,286.62",,"135,088,682,253.77",,"1,871.52"
May,2014,"2,459,603,268.12","-2,583,415,147.71","-123,811,879.59",,"134,964,870,374.18",,"1,873.38"
Jun,2014,"2,568,862,266.21","-2,608,665,845.34","-39,803,579.13",,"134,925,066,795.05",,"1,882.71"
Jul,2014,"2,438,480,689.62","-2,521,393,719.63","-82,913,030.01",,"134,842,153,765.04",,"1,871.36"
Aug,2014,"2,454,391,639.04","-2,327,589,565.14","126,802,073.90",,"134,968,955,838.94",,"1,866.11"
Sep,2014,"2,515,778,320.70","-2,240,092,151.83","275,686,168.87",,"135,244,642,007.81",,"1,846.31"
Oct,2014,"2,770,331,019.86","-2,003,714,656.09","766,616,363.77",,"136,011,258,371.58",,"1,855.15"
Nov,2014,"2,410,489,182.16","-1,907,626,954.73","502,862,227.43",,"136,514,120,599.01",,"1,820.89"
Dec,2014,"1,618,048,361.58","-845,358,841.44","772,689,520.14",,"137,286,810,119.15",,"1,761.25"
Jan,2015,"3,574,303,993.15","-6,111,429,996.20","-2,537,126,003.05","10,691,375,766.52","145,441,059,882.62",8.5,"1,781.26"
Feb,2015,"2,837,448,834.64","-3,145,272,405.81","-307,823,571.17",,"145,133,236,311.45",,"1,821.21"
Mar,2015,"2,927,885,824.94","-3,869,499,168.23","-941,613,343.29",,"144,191,622,968.16",,"1,830.78"
Apr,2015,"2,953,391,389.40","-3,806,659,334.38","-853,267,944.98",,"143,338,355,023.18",,"1,818.27"
May,2015,"2,170,131,262.57","-2,526,803,760.78","-356,672,498.21",,"142,981,682,524.97",,"1,747.52"
Jun,2015,"2,130,192,200.97","-2,688,742,467.53","-558,550,266.56",,"142,423,132,258.41",,"1,706.64"
Jul,2015,"2,284,761,423.86","-2,366,199,355.37","-81,437,931.51",,"142,341,694,326.90",,"1,723.14"
Aug,2015,"1,827,255,123.34","-2,285,478,259.06","-458,223,135.72",,"141,883,471,191.18",,"1,612.74"
Sep,2015,"2,119,683,635.39","-2,122,310,656.31","-2,627,020.92",,"141,880,844,170.26",,"1,621.04"
Oct,2015,"2,116,709,008.91","-1,881,012,605.01","235,696,403.90",,"142,116,540,574.16",,"1,665.71"
Nov,2015,"1,629,280,598.62","-1,917,851,323.85","-288,570,725.23",,"141,827,969,848.93",,"1,672.16"
Dec,2015,"1,218,112,062.36","-804,608,592.84","413,503,469.52",,"142,241,473,318.45",,"1,692.51"
Jan,2016,"2,350,511,170.62","-6,756,875,048.05","-4,406,363,877.43","10,600,129,096.69","148,435,238,537.71",7.75,"1,667.80"
Feb,2016,"2,501,265,968.90","-3,854,629,127.82","-1,353,363,158.92",,"147,081,875,378.79",,"1,654.75"
Mar,2016,"2,455,168,635.80","-3,746,223,338.41","-1,291,054,702.61",,"145,790,820,676.18",,"1,717.58"
Apr,2016,"1,962,096,439.37","-2,832,740,944.70","-870,644,505.33",,"144,920,176,170.85",,"1,672.72"
May,2016,"1,874,812,653.66","-2,748,492,209.55","-873,679,555.89",,"144,046,496,614.96",,"1,626.00"
